"ID","START_DATE","END_DATE","CONSENT_TYPE_ID","UPDATE_VERSION","UPDATE_DATE","UPDATE_USER","DISCONTINUE_DATE","ENTITY_NUMBER","ENTITY_ID","REMARKS","AUD_SRC_SYS_NM","AUD_BATCH_ID","AUD_SUB_BATCH_ID","AUD_IU_FLAG","DYNAMIC_1","DYNAMIC_2","DYNAMIC_3","CONSENT_MODE_ID","PROVIDED_BY_ID"
"20001","","","10014","1","2022-07-13 08:59:37.797","1","","286","44165","","IDIT","0","5","0","","","","",""
"20002","","","10007","1","2022-07-13 08:59:37.797","100000008","","310","32107","","IDIT","0","5","0","","","","",""
"20003","","","10006","1","2022-07-13 08:59:37.797","1","","310","52179","","IDIT","0","5","0","","","","",""
"20004","","","10006","2","2022-07-13 08:59:37.797","100000003","","310","51571","Two","IDIT","0","5","0","","","","",""
"20005","","","10014","3","2022-07-13 08:59:37.797","100000003","","286","48882","Two","IDIT","0","5","0","","","","",""
"20006","","","10018","1","2022-07-13 08:59:37.797","100000003","","436","52060","","IDIT","0","5","0","","","","",""
"20007","2020-01-08 00:00:00.0","2020-01-24 00:00:00.0","10006","1","2022-07-13 08:59:37.797","1","","310","28815","","IDIT","0","5","0","","","","",""
"20008","2020-01-08 00:00:00.0","2020-01-24 00:00:00.0","10013","1","2022-07-13 08:59:37.797","1","","310","28815","","IDIT","0","5","0","","","","",""
"20009","","","10014","1","2022-07-13 08:59:37.797","100000002","","286","49016","","IDIT","0","5","0","","","","",""
"20010","","","10015","1","2022-07-13 08:59:37.797","100000002","","286","49016","","IDIT","0","5","0","","","","",""
"20011","2020-01-13 00:00:00.0","2020-01-13 08:09:58.0","10014","5","2022-07-13 08:59:37.797","100000003","2020-01-13 08:09:58.0","286","49019","Test","IDIT","0","5","0","","","","",""
"20012","","","10014","1","2022-07-13 08:59:37.797","1","","286","49078","","IDIT","0","5","0","","","","",""
"20013","2019-02-13 00:00:00.0","2020-02-04 00:00:00.0","10006","1","2022-07-13 08:59:37.797","1","","310","53642","fsfsas","IDIT","0","5","0","","","","10002","53642"
"20014","2021-05-30 00:00:00.0","2021-05-31 00:00:00.0","10007","1","2022-07-13 08:59:37.797","1","","310","419169","4dgdfg","IDIT","0","5","0","","","","10002","419169"
"20015","2021-05-28 00:00:00.0","2021-05-31 00:00:00.0","10011","1","2022-07-13 08:59:37.797","1","","310","419169","36sgdr","IDIT","0","5","0","","","","10003","419169"
"21014","","","10014","1","2022-07-13 08:59:37.797","1","","286","315236","","IDIT","0","49","0","","","","",""
"ID","START_DATE","END_DATE","CONSENT_TYPE_ID","UPDATE_VERSION","UPDATE_DATE","UPDATE_USER","DISCONTINUE_DATE","ENTITY_NUMBER","ENTITY_ID","REMARKS","AUD_SRC_SYS_NM","AUD_BATCH_ID","AUD_SUB_BATCH_ID","AUD_IU_FLAG","DYNAMIC_1","DYNAMIC_2","DYNAMIC_3","CONSENT_MODE_ID","PROVIDED_BY_ID"
"20001","","","10014","1","2022-07-13 08:59:37.797","1","","286","44165","","IDIT","0","5","0","","","","",""
"20002","","","10007","1","2022-07-13 08:59:37.797","100000008","","310","32107","","IDIT","0","5","0","","","","",""
"20003","","","10006","1","2022-07-13 08:59:37.797","1","","310","52179","","IDIT","0","5","0","","","","",""
"20004","","","10006","2","2022-07-13 08:59:37.797","100000003","","310","51571","Two","IDIT","0","5","0","","","","",""
"20005","","","10014","3","2022-07-13 08:59:37.797","100000003","","286","48882","Two","IDIT","0","5","0","","","","",""
"20006","","","10018","1","2022-07-13 08:59:37.797","100000003","","436","52060","","IDIT","0","5","0","","","","",""
"20007","2020-01-08 00:00:00.0","2020-01-24 00:00:00.0","10006","1","2022-07-13 08:59:37.797","1","","310","28815","","IDIT","0","5","0","","","","",""
"20008","2020-01-08 00:00:00.0","2020-01-24 00:00:00.0","10013","1","2022-07-13 08:59:37.797","1","","310","28815","","IDIT","0","5","0","","","","",""
"20009","","","10014","1","2022-07-13 08:59:37.797","100000002","","286","49016","","IDIT","0","5","0","","","","",""
"20010","","","10015","1","2022-07-13 08:59:37.797","100000002","","286","49016","","IDIT","0","5","0","","","","",""
"20011","2020-01-13 00:00:00.0","2020-01-13 08:09:58.0","10014","5","2022-07-13 08:59:37.797","100000003","2020-01-13 08:09:58.0","286","49019","Test","IDIT","0","5","0","","","","",""
"20012","","","10014","1","2022-07-13 08:59:37.797","1","","286","49078","","IDIT","0","5","0","","","","",""
"20013","2019-02-13 00:00:00.0","2020-02-04 00:00:00.0","10006","1","2022-07-13 08:59:37.797","1","","310","53642","fsfsas","IDIT","0","5","0","","","","10002","53642"
"20014","2021-05-30 00:00:00.0","2021-05-31 00:00:00.0","10007","1","2022-07-13 08:59:37.797","1","","310","419169","4dgdfg","IDIT","0","5","0","","","","10002","419169"
"20015","2021-05-28 00:00:00.0","2021-05-31 00:00:00.0","10011","1","2022-07-13 08:59:37.797","1","","310","419169","36sgdr","IDIT","0","5","0","","","","10003","419169"
"21014","","","10014","1","2022-07-13 08:59:37.797","1","","286","315236","","IDIT","0","49","0","","","","",""
